Customer ID,Churn Reason, Total Revenue ,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Customer Status,Churn Category
7602-MVRMB,,11416.21,Female,62,Yes,1,Fish Camp,93623,37.483535,-119.679414,9,72,None,Yes,46.63,Yes,Yes,Fiber Optic,14,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.45,8058.85,0,0,3357.36,Stayed,
5945-AZYHT,,11355.87,Male,53,Yes,0,Antioch,94509,37.980057,-121.801599,9,71,Offer A,Yes,49.32,Yes,Yes,Fiber Optic,9,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.6,7854.15,0,0,3501.72,Stayed,
0536-ACXIP,,11347.50,Female,34,Yes,0,Lodi,95242,38.128087,-121.4078,9,72,None,Yes,44.2,Yes,Yes,Fiber Optic,2,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.55,8165.1,0,0,3182.4,Stayed,
8029-XYPWT,,11340.82,Male,72,Yes,0,Anaheim,92806,33.83796,-117.870494,1,71,Offer A,Yes,46.82,Yes,Yes,Fiber Optic,18,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,115.05,8016.6,0,0,3324.22,Stayed,
7030-FZTFM,,11315.79,Male,31,Yes,1,Gonzales,93926,36.52588,-121.396719,5,72,Offer A,Yes,45.32,Yes,Yes,Fiber Optic,11,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,110.9,7922.75,0,130,3263.04,Stayed,
8309-PPCED,,11311.06,Female,33,Yes,0,Nipomo,93444,35.050345,-120.489599,1,72,None,Yes,46.23,Yes,Yes,Fiber Optic,18,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.45,7982.5,0,0,3328.56,Stayed,
2380-DAMQP,,11272.18,Female,63,Yes,0,La Palma,90623,33.850504,-118.039892,10,72,None,Yes,40.59,Yes,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,115.15,8349.7,0,0,2922.48,Stayed,
0907-HQNTS,,11221.60,Female,74,Yes,0,Pittsburg,94565,38.006047,-121.916834,8,70,Offer A,Yes,46.2,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Credit Card,113,7987.6,0,0,3234,Stayed,
2889-FPWRM,Competitor offered higher download speeds,11195.44,Male,31,Yes,0,Mckinleyville,95519,40.965011,-124.015255,1,72,None,Yes,34.87,Yes,Yes,Fiber Optic,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,117.8,8684.8,0,0,2510.64,Churned,Competitor
9924-JPRMC,,11174.43,Male,60,No,0,Lockeford,95237,38.166791,-121.14207,0,72,None,Yes,36.49,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,118.2,8547.15,0,0,2627.28,Stayed,
2469-DTSGX,,11169.77,Female,72,No,0,Somis,93066,34.297628,-119.014627,0,72,Offer A,Yes,44.81,Yes,Yes,Fiber Optic,14,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,111.65,7943.45,0,0,3226.32,Stayed,
3259-FDWOY,Competitor offered higher download speeds,11084.84,Male,60,Yes,0,Elk Grove,95758,38.35363,-121.44195,3,71,Offer A,Yes,47.34,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,106,7723.7,0,0,3361.14,Churned,Competitor
2834-JRTUA,Competitor had better devices,11040.97,Male,30,No,0,Martinez,94553,38.014457,-122.115432,0,71,Offer A,Yes,49.42,Yes,Yes,Fiber Optic,53,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,108.05,7532.15,0,0,3508.82,Churned,Competitor
8015-IHCGW,,11033.90,Female,53,Yes,1,Garden Grove,92844,33.766476,-117.969795,1,72,Offer A,Yes,36.82,Yes,Yes,Fiber Optic,10,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.5,8425.15,42.29,0,2651.04,Stayed,
8823-RLPWL,,11032.77,Female,24,Yes,0,Rosamond,93560,34.903052,-118.411251,5,72,Offer A,Yes,41.21,Yes,Yes,Fiber Optic,73,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,110.65,8065.65,0,0,2967.12,Stayed,
9739-JLPQJ,,11025.19,Female,58,Yes,1,Long Beach,90822,33.778436,-118.118648,9,72,None,Yes,33.37,Yes,Yes,Fiber Optic,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,117.5,8670.1,47.55,0,2402.64,Stayed,
3795-CAWEX,,11006.20,Male,21,Yes,2,Whitmore,96096,40.637105,-121.906949,5,70,Offer A,Yes,40.77,Yes,Yes,Fiber Optic,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.55,8152.3,0,0,2853.9,Stayed,
0835-JKADZ,,10960.47,Female,29,No,0,San Francisco,94107,37.768881,-122.395521,0,71,None,Yes,41.92,Yes,Yes,Fiber Optic,53,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.25,7984.15,0,0,2976.32,Stayed,
8915-NNTRC,,10939.48,Male,29,Yes,1,Lake Isabella,93240,35.607875,-118.466318,4,72,None,Yes,41.94,Yes,Yes,Fiber Optic,85,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,107.7,7919.8,0,0,3019.68,Stayed,
0906-QVPMS,,10920.57,Male,29,Yes,0,Monterey,93940,36.362741,-121.869685,4,72,Offer A,Yes,35.71,Yes,Yes,Fiber Optic,58,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,115.15,8349.45,0,0,2571.12,Stayed,
7055-JCGNI,,10915.85,Female,60,No,0,Moss Beach,94038,37.515556,-122.502311,0,70,Offer A,Yes,44.57,Yes,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,111.95,7795.95,0,0,3119.9,Stayed,
8901-UPRHR,,10881.61,Female,40,Yes,1,La Grange,95329,37.666587,-120.411517,4,72,Offer A,Yes,44.03,Yes,Yes,Fiber Optic,14,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.2,7711.45,0,0,3170.16,Stayed,
7923-IYJWY,,10865.37,Male,68,No,0,Twain Harte,95383,38.107441,-120.230625,0,67,None,Yes,44.56,Yes,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,116.1,7839.85,0,40,2985.52,Stayed,
1352-HNSAW,,10858.08,Female,26,Yes,3,Aliso Viejo,92656,33.571259,-117.731917,9,72,None,Yes,34.69,Yes,Yes,Fiber Optic,59,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,115.6,8220.4,0,140,2497.68,Stayed,
8975-SKGRX,,10842.48,Male,29,Yes,0,Redwood City,94063,37.499411,-122.196318,1,71,None,Yes,33.83,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,116.1,8310.55,0,130,2401.93,Stayed,
0106-UGRDO,,10840.73,Female,55,Yes,0,Kenwood,95452,38.419525,-122.521585,3,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8182.85,0,0,2657.88,Stayed,
0052-DCKON,,10830.97,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,None,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,0,0,2888.82,Stayed,
9958-MEKUC,,10824.66,Male,26,Yes,2,Pacifica,94044,37.573633,-122.455167,1,72,Offer A,Yes,45.93,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Two Year,No,Credit Card,103.95,7517.7,0,0,3306.96,Stayed,
7663-YJHSN,,10814.34,Female,33,Yes,0,Moss Landing,95039,36.863303,-121.781632,10,72,Offer A,Yes,44.27,Yes,Yes,Fiber Optic,8,Yes,Yes,Yes,Yes,Yes,No,No,No,Two Year,Yes,Bank Withdrawal,103.95,7556.9,0,70,3187.44,Stayed,
8089-UZWLX,,10811.61,Female,75,No,0,El Nido,95317,37.127386,-120.506422,0,71,Offer A,Yes,47.86,Yes,Yes,Fiber Optic,16,No,No,Yes,No,Yes,Yes,No,Yes,Two Year,No,Bank Withdrawal,104.05,7413.55,0,0,3398.06,Stayed,
8213-TAZPM,,10798.10,Female,45,Yes,1,Lemon Grove,91945,32.733564,-117.033713,5,69,Offer A,Yes,46.45,Yes,Yes,Fiber Optic,26,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,108.75,7493.05,0,100,3205.05,Stayed,
1841-YSJGV,,10788.56,Male,58,Yes,0,South El Monte,91733,34.04622,-118.053753,9,72,Offer A,Yes,40.78,Yes,Yes,Fiber Optic,22,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,109.95,7852.4,0,0,2936.16,Stayed,
5168-MQQCA,,10771.48,Female,50,Yes,0,Yucaipa,92399,34.04597,-117.011825,2,72,Offer A,Yes,38.44,Yes,Yes,Fiber Optic,16,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,108.5,8003.8,0,0,2767.68,Stayed,
1488-PBLJN,,10769.46,Female,63,Yes,1,San Diego,92124,32.827238,-117.089287,1,72,Offer A,Yes,31.83,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.85,8477.7,0,0,2291.76,Stayed,
1984-FCOWB,Attitude of service provider,10756.15,Female,21,Yes,0,Templeton,93465,35.536115,-120.739231,1,70,Offer A,Yes,41.88,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,109.5,7674.55,0,150,2931.6,Churned,Attitude
5183-KLYEM,,10729.88,Female,30,No,0,El Cerrito,94530,37.924838,-122.289145,0,72,Offer A,Yes,35.24,Yes,Yes,Fiber Optic,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,112.75,8192.6,0,0,2537.28,Stayed,
5795-KTGUD,,10729.20,Female,61,Yes,0,Ione,95640,38.33788,-120.954202,2,68,Offer A,Yes,46.7,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.8,7553.6,0,0,3175.6,Stayed,
8606-CIQUL,,10725.31,Male,77,Yes,1,Temecula,92591,33.540604,-117.10909,1,72,Offer A,Yes,30.78,Yes,Yes,Fiber Optic,17,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,115.75,8399.15,0,110,2216.16,Stayed,
5287-QWLKY,Attitude of support person,10718.96,Male,79,Yes,0,Big Pine,93513,37.245505,-118.062943,1,71,None,Yes,44.66,Yes,Yes,Fiber Optic,8,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,105.1,7548.1,0,0,3170.86,Churned,Attitude
9835-ZIITK,Competitor made better offer,10717.17,Male,66,Yes,0,Campbell,95008,37.279689,-121.954567,1,66,None,Yes,48.87,Yes,Yes,Fiber Optic,13,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.85,7491.75,0,0,3225.42,Churned,Competitor
5440-FLBQG,Attitude of service provider,10690.92,Male,69,Yes,0,Santa Barbara,93110,34.437945,-119.77191,1,69,Offer A,Yes,48.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,108.4,7318.2,0,0,3372.72,Churned,Attitude
6519-ZHPXP,,10685.12,Female,51,Yes,2,Sacramento,95824,38.517295,-121.439819,1,72,None,Yes,41.55,No,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,108.3,7679.65,36.13,50,2991.6,Stayed,
4376-KFVRS,,10682.20,Male,52,Yes,0,Barstow,92311,34.965648,-117.001509,5,72,Offer A,Yes,30.75,Yes,Yes,Fiber Optic,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,114.05,8468.2,0,0,2214,Stayed,
1335-HQMKX,,10642.35,Female,49,Yes,0,Los Angeles,90044,33.952714,-118.292061,6,72,Offer A,Yes,46.1,Yes,Yes,Fiber Optic,23,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,101.35,7323.15,0,0,3319.2,Stayed,
0254-FNMCI,,10641.72,Female,19,No,0,Downey,90241,33.940884,-118.128628,0,72,None,Yes,41.91,No,Yes,Fiber Optic,73,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.9,7624.2,0,0,3017.52,Stayed,
1936-UAFEH,,10629.11,Female,43,No,0,Pioneer,95666,38.546999,-120.271114,0,68,None,Yes,48.82,Yes,Yes,Fiber Optic,17,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Two Year,No,Credit Card,110.25,7279.35,0,30,3319.76,Stayed,
0675-NCDYU,,10621.17,Female,61,Yes,2,Placentia,92870,33.881158,-117.854783,1,72,Offer A,Yes,28.86,Yes,Yes,Fiber Optic,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.4,8543.25,0,0,2077.92,Stayed,
2272-WUSPA,,10612.98,Female,48,Yes,0,Milford,96121,40.181279,-120.392967,1,72,None,Yes,39.74,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.75,7751.7,0,0,2861.28,Stayed,
9866-OCCKE,,10598.23,Female,73,Yes,0,San Diego,92114,32.707892,-117.05512,1,72,Offer A,Yes,35.04,Yes,Yes,Fiber Optic,22,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Mailed Check,109.75,8075.35,0,0,2522.88,Stayed,
4393-GEADV,,10576.50,Male,54,Yes,3,Dulzura,91917,32.622999,-116.687855,10,70,None,Yes,39.06,Yes,Yes,Fiber Optic,75,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,114.75,7842.3,0,0,2734.2,Stayed,
6999-CHVCF,,10509.91,Male,40,No,0,Covina,91723,34.084747,-117.886844,0,68,None,Yes,49.42,Yes,Yes,Fiber Optic,7,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,102.1,7149.35,0,0,3360.56,Stayed,
9090-SGQXL,Competitor offered more data,10507.21,Male,70,Yes,0,Ben Lomond,95005,37.078873,-122.090386,1,68,None,Yes,47.17,Yes,Yes,Fiber Optic,29,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,105.3,7299.65,0,0,3207.56,Churned,Competitor
4815-YOSUK,,10502.46,Male,22,Yes,2,Aliso Viejo,92656,33.571259,-117.731917,9,72,None,Yes,41.18,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,104.9,7537.5,0,0,2964.96,Stayed,
8809-XKHMD,,10481.58,Male,62,Yes,0,Sacramento,95828,38.486938,-121.395805,5,72,Offer A,Yes,43.84,Yes,Yes,Fiber Optic,15,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,100.55,7325.1,0,0,3156.48,Stayed,
5453-YBTWV,,10471.70,Male,52,Yes,2,Moreno Valley,92557,33.970661,-117.255039,10,70,None,Yes,49.67,No,Yes,Fiber Optic,19,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Credit Card,101.1,6994.8,0,0,3476.9,Stayed,
2323-ARSVR,,10462.68,Male,51,Yes,0,Milpitas,95035,37.441931,-121.878502,8,67,None,Yes,46.89,No,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.05,7321.05,0,0,3141.63,Stayed,
5440-VHLUL,,10461.38,Male,48,No,0,Berkeley,94710,37.872902,-122.303708,0,69,Offer A,Yes,44.57,Yes,Yes,Fiber Optic,28,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,105.2,7386.05,0,0,3075.33,Stayed,
9127-FHJBZ,,10430.99,Male,60,Yes,3,Vallecito,95251,38.055562,-120.456298,1,72,None,Yes,32.47,Yes,Yes,Fiber Optic,76,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114,8093.15,0,0,2337.84,Stayed,
9802-CAQUT,,10411.33,Female,27,Yes,3,Coarsegold,93614,37.212191,-119.749323,9,72,None,Yes,33.39,Yes,Yes,Fiber Optic,52,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Two Year,No,Credit Card,109.55,7887.25,0,120,2404.08,Stayed,
6614-FHDBO,,10406.22,Male,49,No,0,Rancho Cucamonga,91701,34.132275,-117.611478,0,72,None,Yes,35.11,Yes,Yes,Fiber Optic,22,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,109.2,7878.3,0,0,2527.92,Stayed,
2388-LAESQ,,10385.79,Female,74,Yes,0,Manchester,95459,38.966713,-123.586412,3,72,Offer A,Yes,28.72,Yes,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,114.85,8317.95,0,0,2067.84,Stayed,
5286-YHCVC,,10385.38,Male,58,Yes,0,Laton,93242,36.444232,-119.718285,4,72,None,Yes,40.49,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,104.8,7470.1,0,0,2915.28,Stayed,
0979-PHULV,Competitor made better offer,10374.80,Male,30,Yes,0,San Diego,92122,32.85723,-117.209774,2,69,Offer A,Yes,48.8,Yes,Yes,Fiber Optic,26,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.45,7007.6,0,0,3367.2,Churned,Competitor
5804-HYIEZ,,10373.65,Male,40,Yes,1,Winterhaven,92283,32.852947,-114.850784,1,70,Offer A,Yes,40.28,Yes,Yes,Fiber Optic,13,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,106.05,7554.05,0,0,2819.6,Stayed,
1229-RCALF,,10368.31,Female,37,Yes,0,San Jose,95117,37.311088,-121.961786,1,64,None,Yes,46.44,Yes,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,115,7396.15,0,0,2972.16,Stayed,
3886-CERTZ,Competitor had better devices,10351.16,Female,57,Yes,0,Fullerton,92831,33.879983,-117.895482,1,72,None,Yes,31.13,Yes,Yes,Fiber Optic,11,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.25,8109.8,0,0,2241.36,Churned,Competitor
3580-HYCSP,,10343.62,Male,44,Yes,4,Midway City,92655,33.744439,-117.98588,10,72,None,Yes,33.01,Yes,Yes,Fiber Optic,51,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,110.3,7966.9,0,0,2376.72,Stayed,
5781-BKHOP,,10335.01,Female,48,Yes,0,Richmond,94801,37.945288,-122.383941,10,72,Offer A,Yes,41.68,Yes,Yes,Fiber Optic,28,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,No,Bank Withdrawal,100.65,7334.05,0,0,3000.96,Stayed,
6650-BWFRT,,10321.58,Female,43,Yes,0,Cambria,93428,35.591387,-121.032256,1,72,Offer A,Yes,24.89,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,117.15,8529.5,0,0,1792.08,Stayed,
8513-OLYGY,,10318.63,Male,50,Yes,0,Fortuna,95540,40.584991,-124.121504,8,72,None,Yes,27.59,Yes,Yes,Fiber Optic,25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,115.8,8332.15,0,0,1986.48,Stayed,
0748-RDGGM,Long distance charges,10308.75,Male,38,Yes,0,Tarzana,91356,34.157137,-118.548511,1,70,None,Yes,39.63,No,Yes,Fiber Optic,26,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.5,7534.65,0,0,2774.1,Churned,Price
1325-USMEC,,10304.50,Male,58,Yes,0,Pearblossom,93553,34.445239,-117.894868,10,70,Offer A,Yes,48,Yes,Yes,Fiber Optic,13,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Credit Card,99.35,6944.5,0,0,3360,Stayed,
5375-XLDOF,,10295.73,Male,24,Yes,3,Calipatria,92233,33.143826,-115.497485,7,69,Offer A,Yes,37.97,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Bank Withdrawal,114.35,7665.8,0,10,2619.93,Stayed,
3022-BEXHZ,,10275.12,Male,19,Yes,1,Sonoma,95476,38.25485,-122.461799,6,67,None,Yes,40.96,Yes,Yes,Fiber Optic,47,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,111.2,7530.8,0,0,2744.32,Stayed,
5038-ETMLM,,10270.75,Female,35,Yes,0,Sacramento,95823,38.475465,-121.443625,10,72,Offer A,Yes,29,Yes,Yes,Fiber Optic,22,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,113.65,8182.75,0,0,2088,Stayed,
9481-IEBZY,,10263.10,Male,69,Yes,0,Nuevo,92567,33.82769,-117.102244,6,72,Offer A,Yes,30.3,Yes,Yes,Fiber Optic,14,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Two Year,Yes,Credit Card,112.9,8061.5,0,20,2181.6,Stayed,
4282-MSACW,,10257.51,Male,39,No,0,Tahoe City,96145,39.178337,-120.162806,0,68,None,Yes,32.67,Yes,Yes,Fiber Optic,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,117.2,8035.95,0,0,2221.56,Stayed,
4199-QHJNM,,10251.26,Male,72,Yes,0,Bass Lake,93604,37.458367,-119.345011,9,67,Offer A,Yes,48.68,Yes,Yes,Fiber Optic,17,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,102.9,6989.7,0,0,3261.56,Stayed,
